Level	Rule Name	Subject	Property	Value
ERROR	multiple_labels	RO:0002005	rdfs:label	innervated_by@en	
ERROR	multiple_labels	RO:0002007	rdfs:label	bounding layer of	
ERROR	multiple_labels	RO:0002007	rdfs:label	bounding layer of@en	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately preceded by@en	
ERROR	multiple_labels	RO:0002087	rdfs:label	immediately_preceded_by	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps	
ERROR	multiple_labels	RO:0002131	rdfs:label	overlaps@en	
ERROR	multiple_labels	RO:0002134	rdfs:label	innervates	
ERROR	multiple_labels	RO:0002134	rdfs:label	innervates@en	
ERROR	multiple_labels	RO:0002150	rdfs:label	continuous with@en	
ERROR	multiple_labels	RO:0002150	rdfs:label	continuous_with	
ERROR	multiple_labels	RO:0002170	rdfs:label	connected to	
ERROR	multiple_labels	RO:0002170	rdfs:label	connected to@en	
ERROR	multiple_labels	RO:0002174	rdfs:label	dubious for taxon@en	
ERROR	multiple_labels	RO:0002174	rdfs:label	dubious_for_taxon	
ERROR	multiple_labels	RO:0002175	rdfs:label	present in taxon@en	
ERROR	multiple_labels	RO:0002175	rdfs:label	present_in_taxon	
ERROR	multiple_labels	RO:0002176	rdfs:label	connects	
ERROR	multiple_labels	RO:0002176	rdfs:label	connects@en	
ERROR	multiple_labels	RO:0002177	rdfs:label	attached to part of@en	
ERROR	multiple_labels	RO:0002177	rdfs:label	attaches_to_part_of	
ERROR	multiple_labels	RO:0002178	rdfs:label	supplies	
ERROR	multiple_labels	RO:0002178	rdfs:label	supplies@en	
ERROR	multiple_labels	RO:0002179	rdfs:label	drains	
ERROR	multiple_labels	RO:0002179	rdfs:label	drains@en	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component	
ERROR	multiple_labels	RO:0002180	rdfs:label	has component@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops from@en	
ERROR	multiple_labels	RO:0002202	rdfs:label	develops_from	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops into@en	
ERROR	multiple_labels	RO:0002203	rdfs:label	develops_into	
ERROR	multiple_labels	RO:0002207	rdfs:label	directly develops from@en	
ERROR	multiple_labels	RO:0002207	rdfs:label	directly_develops_from	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates	
ERROR	multiple_labels	RO:0002211	rdfs:label	regulates@en	
ERROR	multiple_labels	RO:0002212	rdfs:label	negatively regulates	
ERROR	multiple_labels	RO:0002212	rdfs:label	negatively regulates@en	
ERROR	multiple_labels	RO:0002213	rdfs:label	positively regulates	
ERROR	multiple_labels	RO:0002213	rdfs:label	positively regulates@en	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of	
ERROR	multiple_labels	RO:0002215	rdfs:label	capable of@en	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of	
ERROR	multiple_labels	RO:0002216	rdfs:label	capable of part of@en	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded by@en	
ERROR	multiple_labels	RO:0002219	rdfs:label	surrounded_by	
ERROR	multiple_labels	RO:0002220	rdfs:label	adjacent to@en	
ERROR	multiple_labels	RO:0002220	rdfs:label	adjacent_to	
ERROR	multiple_labels	RO:0002221	rdfs:label	surrounds	
ERROR	multiple_labels	RO:0002221	rdfs:label	surrounds@en	
ERROR	multiple_labels	RO:0002223	rdfs:label	starts	
ERROR	multiple_labels	RO:0002223	rdfs:label	starts@en	
ERROR	multiple_labels	RO:0002224	rdfs:label	starts with	
ERROR	multiple_labels	RO:0002224	rdfs:label	starts with@en	
ERROR	multiple_labels	RO:0002225	rdfs:label	develops from part of@en	
ERROR	multiple_labels	RO:0002225	rdfs:label	develops_from_part_of	
ERROR	multiple_labels	RO:0002226	rdfs:label	develops in@en	
ERROR	multiple_labels	RO:0002226	rdfs:label	develops_in	
ERROR	multiple_labels	RO:0002229	rdfs:label	ends	
ERROR	multiple_labels	RO:0002229	rdfs:label	ends@en	
ERROR	multiple_labels	RO:0002230	rdfs:label	ends with	
ERROR	multiple_labels	RO:0002230	rdfs:label	ends with@en	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from	
ERROR	multiple_labels	RO:0002254	rdfs:label	has developmental contribution from@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally contributes to@en	
ERROR	multiple_labels	RO:0002255	rdfs:label	developmentally_contributes_to	
ERROR	multiple_labels	RO:0002256	rdfs:label	developmentally induced by@en	
ERROR	multiple_labels	RO:0002256	rdfs:label	developmentally_induced_by	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by	
ERROR	multiple_labels	RO:0002258	rdfs:label	developmentally preceded by@en	
ERROR	multiple_labels	RO:0002285	rdfs:label	developmentally replaces@en	
ERROR	multiple_labels	RO:0002285	rdfs:label	developmentally_replaces	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to	
ERROR	multiple_labels	RO:0002328	rdfs:label	functionally related to@en	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of	
ERROR	multiple_labels	RO:0002329	rdfs:label	part of structure that is capable of@en	
ERROR	multiple_labels	RO:0002350	rdfs:label	member of	
ERROR	multiple_labels	RO:0002350	rdfs:label	member of@en	
ERROR	multiple_labels	RO:0002351	rdfs:label	has member	
ERROR	multiple_labels	RO:0002351	rdfs:label	has member@en	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of	
ERROR	multiple_labels	RO:0002352	rdfs:label	input of@en	
ERROR	multiple_labels	RO:0002371	rdfs:label	attached to@en	
ERROR	multiple_labels	RO:0002371	rdfs:label	attaches_to	
ERROR	multiple_labels	RO:0002373	rdfs:label	has muscle insertion@en	
ERROR	multiple_labels	RO:0002373	rdfs:label	has_muscle_insertion	
ERROR	multiple_labels	RO:0002376	rdfs:label	tributary of@en	
ERROR	multiple_labels	RO:0002376	rdfs:label	tributary_of	
ERROR	multiple_labels	RO:0002380	rdfs:label	branching part of@en	
ERROR	multiple_labels	RO:0002380	rdfs:label	branching_part_of	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to	
ERROR	multiple_labels	RO:0002385	rdfs:label	has potential to developmentally contribute to@en	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into	
ERROR	multiple_labels	RO:0002387	rdfs:label	has potential to develop into@en	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into	
ERROR	multiple_labels	RO:0002388	rdfs:label	has potential to directly develop into@en	
ERROR	multiple_labels	RO:0003000	rdfs:label	produces	
ERROR	multiple_labels	RO:0003000	rdfs:label	produces@en	
ERROR	multiple_labels	RO:0003001	rdfs:label	produced by@en	
ERROR	multiple_labels	RO:0003001	rdfs:label	produced_by	
WARN	annotation_whitespace	45f96b5e4446d6c628d6db792566ba46	oboInOwl:source	DOI:10.1146/annurev.cellbio.22.010605.093317 Hartenstein V, Blood cells and blood cell development in the animal kingdom. Annual review of cell and developmental biology (2006) 	
WARN	annotation_whitespace	RO:0001018	IAO:0000116	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	RO:0002163	IAO:0000116	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	RO:0002215	IAO:0000115	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	RO:0002256	IAO:0000119	 Developmental Biology, Gilbert, 8th edition, figure 6.5(F)	
WARN	duplicate_exact_synonym	GO:0007632	oboInOwl:hasExactSynonym	visual behaviour	
WARN	duplicate_exact_synonym	NBO:0000314	oboInOwl:hasExactSynonym	visual behaviour	
WARN	duplicate_exact_synonym	NBO:0000025	oboInOwl:hasExactSynonym	unprovoked seizure	
WARN	duplicate_exact_synonym	NBO:0000642	oboInOwl:hasExactSynonym	unprovoked seizure	
WARN	duplicate_exact_synonym	GO:0035176	oboInOwl:hasExactSynonym	social behaviour	
WARN	duplicate_exact_synonym	NBO:0000011	oboInOwl:hasExactSynonym	social behaviour	
WARN	duplicate_exact_synonym	GO:0019098	oboInOwl:hasExactSynonym	reproductive behaviour	
WARN	duplicate_exact_synonym	NBO:0000010	oboInOwl:hasExactSynonym	reproductive behaviour	
WARN	duplicate_exact_synonym	NBO:0000503	oboInOwl:hasExactSynonym	RBD	
WARN	duplicate_exact_synonym	NBO:0000524	oboInOwl:hasExactSynonym	RBD	
